timestamp,tracking_state,num_features,tx,ty,tz,qx,qy,qz,qw
1785942449.162233829,2,1005,-1.214041591,-0.893652081,-0.007969483,0.000618749,0.007436367,-0.251603931,0.967801511
1785942449.277746201,2,1011,-1.209647417,-0.895043969,-0.002972190,-0.001190617,0.007970867,-0.251540214,0.967813313
1785942449.362777710,2,1004,-1.203190804,-0.897829890,-0.004706429,-0.002038379,0.005562432,-0.251563877,0.967822552
1785942449.462336540,2,1013,-1.199514031,-0.893991411,-0.010481902,0.000298390,0.004587432,-0.252068818,0.967698395
1785942449.575235844,2,1007,-1.192578912,-0.893223345,-0.013035158,0.000758361,0.003521306,-0.253054172,0.967445433
1785942449.675494671,2,1005,-1.185958385,-0.891978145,-0.012610723,0.001101556,0.004405495,-0.253829271,0.967238426
1785942449.781517982,2,1006,-1.180769920,-0.892936230,-0.006997964,0.000171475,0.006247923,-0.254375279,0.967085421
1785942449.873354435,2,1006,-1.172004938,-0.892979741,-0.006169886,0.000241308,0.006598454,-0.254487932,0.967053473
1785942449.963673353,2,1003,-1.165588379,-0.893554688,-0.003657574,-0.000238899,0.007318881,-0.254801780,0.966965556
1785942450.073639631,2,1004,-1.158644676,-0.895628810,-0.002918346,-0.000517862,0.006928366,-0.255013347,0.966912627
1785942450.162682295,2,1008,-1.152380466,-0.898985982,-0.002232591,-0.000937891,0.006568896,-0.255169958,0.966873467
1785942450.262849092,2,1003,-1.147324920,-0.898321927,-0.003902877,0.000424102,0.007097426,-0.255674630,0.966736794
1785942450.364187479,2,1007,-1.139647245,-0.902429104,-0.004295855,-0.000166279,0.006072086,-0.256440520,0.966540933
1785942450.474038124,2,1006,-1.133047342,-0.904539108,-0.003031297,-0.000434445,0.006749603,-0.257104695,0.966359913
1785942450.573318481,2,1004,-1.126319528,-0.905350506,-0.002400680,0.000288605,0.007508675,-0.257270485,0.966310203
1785942450.674188852,2,1006,-1.120041251,-0.907349885,-0.004188605,0.000304641,0.006463433,-0.257834345,0.966167510
1785942450.762892246,2,1003,-1.119503498,-0.909781635,0.001920546,-0.000610229,0.008603907,-0.257871032,0.966140866
1785942450.862648726,2,1004,-1.113746405,-0.911912024,0.000766328,-0.000480376,0.007311304,-0.258032471,0.966108441
1785942450.962759256,2,1006,-1.107307434,-0.917400420,0.000020791,-0.001487413,0.005866747,-0.257900774,0.966152489
1785942451.064272404,2,1005,-1.104124784,-0.922798157,0.004682957,-0.002740194,0.006396428,-0.257855207,0.966158509
1785942451.164438009,2,1007,-1.098281860,-0.927185357,0.005461096,-0.003058036,0.006416284,-0.257809639,0.966169596
1785942451.263321400,2,1003,-1.094695449,-0.930040300,0.006075619,-0.002811208,0.006770808,-0.258053899,0.966102719
1785942451.377958775,2,1004,-1.091129184,-0.933418453,0.006181407,-0.002656556,0.006773893,-0.258069426,0.966098964
1785942451.463351488,2,1006,-1.088564396,-0.940750062,0.009336831,-0.004544485,0.006466632,-0.258111417,0.966082811
